time,open,high,low,close,tick_volume,spread,real_volume
2025-08-04 19:16:00,1.15671,1.15699,1.1567,1.15699,38,9,0
2025-08-04 19:17:00,1.15699,1.1571,1.1569099999999999,1.15692,52,9,0
2025-08-04 19:18:00,1.15694,1.15717,1.15694,1.15716,41,9,0
2025-08-04 19:19:00,1.15719,1.15721,1.15707,1.15708,33,9,0
2025-08-04 19:20:00,1.15706,1.15708,1.15692,1.15692,40,9,0
2025-08-04 19:21:00,1.15692,1.15703,1.15692,1.15703,20,9,0
2025-08-04 19:22:00,1.15702,1.15702,1.15695,1.15696,15,9,0
2025-08-04 19:23:00,1.15696,1.15707,1.15694,1.15706,23,9,0
2025-08-04 19:24:00,1.15704,1.15709,1.15704,1.15707,13,9,0
2025-08-04 19:25:00,1.15707,1.1571,1.15701,1.15709,21,9,0
2025-08-04 19:26:00,1.15709,1.1571500000000001,1.15708,1.15713,12,9,0
2025-08-04 19:27:00,1.15712,1.1571799999999999,1.15706,1.15709,28,9,0
2025-08-04 19:28:00,1.15709,1.1571799999999999,1.15709,1.1571,22,9,0
2025-08-04 19:29:00,1.15712,1.15714,1.15709,1.1571,12,9,0
2025-08-04 19:30:00,1.1571,1.15722,1.15709,1.15712,40,9,0
2025-08-04 19:31:00,1.15712,1.15716,1.15711,1.15712,23,9,0
2025-08-04 19:32:00,1.15712,1.15716,1.15703,1.15705,23,9,0
2025-08-04 19:33:00,1.15705,1.1571799999999999,1.15704,1.15711,26,9,0
2025-08-04 19:34:00,1.15711,1.15712,1.15705,1.15711,27,9,0
2025-08-04 19:35:00,1.1571,1.1571,1.15695,1.15695,22,9,0
2025-08-04 19:36:00,1.15695,1.15697,1.15685,1.15687,21,9,0
2025-08-04 19:37:00,1.15687,1.15687,1.15678,1.15679,15,9,0
2025-08-04 19:38:00,1.15679,1.15693,1.15679,1.15687,32,9,0
2025-08-04 19:39:00,1.15687,1.15688,1.15678,1.15683,17,9,0
2025-08-04 19:40:00,1.15683,1.15684,1.15677,1.15678,19,9,0
2025-08-04 19:41:00,1.15678,1.15684,1.15677,1.15679,12,9,0
2025-08-04 19:42:00,1.15679,1.15684,1.15677,1.1568,23,9,0
2025-08-04 19:43:00,1.1568,1.1568,1.15664,1.15668,46,9,0
2025-08-04 19:44:00,1.15665,1.15674,1.15656,1.15674,44,9,0
2025-08-04 19:45:00,1.15674,1.15674,1.15662,1.15663,28,9,0
2025-08-04 19:46:00,1.15663,1.15667,1.15655,1.15655,28,9,0
2025-08-04 19:47:00,1.1565400000000001,1.15674,1.1565,1.15664,33,9,0
2025-08-04 19:48:00,1.15664,1.15666,1.15647,1.1565,25,9,0
2025-08-04 19:49:00,1.15651,1.1565400000000001,1.15639,1.15653,38,9,0
2025-08-04 19:50:00,1.1565400000000001,1.15682,1.15653,1.15676,52,9,0
2025-08-04 19:51:00,1.15676,1.15676,1.1566,1.1567,37,9,0
2025-08-04 19:52:00,1.1567,1.1567,1.15648,1.15658,49,9,0
2025-08-04 19:53:00,1.15659,1.15677,1.1565699999999999,1.15661,38,9,0
2025-08-04 19:54:00,1.15661,1.15667,1.15643,1.15653,42,9,0
2025-08-04 19:55:00,1.15653,1.15653,1.15626,1.15627,33,9,0
2025-08-04 19:56:00,1.15629,1.15638,1.15629,1.15635,31,9,0
2025-08-04 19:57:00,1.15634,1.15636,1.15626,1.15636,28,9,0
2025-08-04 19:58:00,1.15637,1.1565699999999999,1.15637,1.1564,44,9,0
2025-08-04 19:59:00,1.1564,1.1568100000000001,1.15637,1.15672,51,9,0
2025-08-04 20:00:00,1.15675,1.1568,1.15664,1.15667,32,9,0
2025-08-04 20:01:00,1.15668,1.15675,1.1565,1.1565699999999999,37,9,0
2025-08-04 20:02:00,1.1565699999999999,1.15679,1.1565,1.15679,37,9,0
2025-08-04 20:03:00,1.15679,1.15686,1.15676,1.15684,20,9,0
2025-08-04 20:04:00,1.15684,1.15684,1.1566,1.15662,24,9,0
2025-08-04 20:05:00,1.15662,1.15669,1.15656,1.15656,36,9,0
2025-08-04 20:06:00,1.15659,1.15666,1.15656,1.15662,13,9,0
2025-08-04 20:07:00,1.15662,1.15672,1.15662,1.15671,24,9,0
2025-08-04 20:08:00,1.15671,1.15677,1.15666,1.15668,17,9,0
2025-08-04 20:09:00,1.15666,1.15668,1.15656,1.15664,19,9,0
2025-08-04 20:10:00,1.15664,1.15664,1.1566,1.15662,16,9,0
2025-08-04 20:11:00,1.15662,1.15667,1.1566,1.15666,12,9,0
2025-08-04 20:12:00,1.15667,1.15716,1.15667,1.15702,52,9,0
2025-08-04 20:13:00,1.15701,1.15713,1.15701,1.15709,27,9,0
2025-08-04 20:14:00,1.15708,1.15716,1.15703,1.15716,20,9,0
2025-08-04 20:15:00,1.15716,1.15739,1.1571,1.1573,45,9,0
2025-08-04 20:16:00,1.1573,1.15737,1.15728,1.15737,12,9,0
2025-08-04 20:17:00,1.15737,1.15756,1.15737,1.15751,25,9,0
2025-08-04 20:18:00,1.15751,1.15753,1.15734,1.15736,21,9,0
2025-08-04 20:19:00,1.15736,1.15743,1.15735,1.1574,15,9,0
2025-08-04 20:20:00,1.15741,1.15746,1.15734,1.15745,47,9,0
2025-08-04 20:21:00,1.15745,1.15749,1.15744,1.15747,9,9,0
2025-08-04 20:22:00,1.15745,1.15745,1.15739,1.15743,10,9,0
2025-08-04 20:23:00,1.15743,1.15754,1.15737,1.15754,22,9,0
2025-08-04 20:24:00,1.15753,1.15757,1.15748,1.15748,17,9,0
2025-08-04 20:25:00,1.15748,1.15748,1.15746,1.15748,5,9,0
2025-08-04 20:26:00,1.15748,1.1575199999999999,1.15736,1.1574,24,9,0
2025-08-04 20:27:00,1.15741,1.15741,1.15738,1.15738,5,9,0
2025-08-04 20:28:00,1.15738,1.15745,1.15738,1.15745,16,9,0
2025-08-04 20:29:00,1.15743,1.15755,1.1574,1.15751,27,9,0
2025-08-04 20:30:00,1.15751,1.15751,1.15748,1.15748,13,9,0
2025-08-04 20:31:00,1.15748,1.15753,1.15744,1.15748,19,9,0
2025-08-04 20:32:00,1.15748,1.15748,1.1574,1.15744,17,9,0
2025-08-04 20:33:00,1.15746,1.15751,1.15739,1.15743,29,9,0
2025-08-04 20:34:00,1.15744,1.15748,1.15741,1.15741,20,9,0
2025-08-04 20:35:00,1.15741,1.15741,1.15726,1.15726,28,9,0
